fecha,volumen_m3
2015-01-01,869500000.0
2015-01-02,865969000.0
2015-01-03,861594000.0
2015-01-04,858406000.0
2015-01-05,854719000.0
2015-01-06,850438000.0
2015-01-07,847000000.0
2015-01-08,843219000.0
2015-01-09,841500000.0
2015-01-10,838875000.0
2015-01-11,836625000.0
2015-01-12,834344000.0
2015-01-13,835563000.0
2015-01-14,833688000.0
2015-01-15,830719000.0
2015-01-16,829500000.0
2015-01-17,827219000.0
2015-01-18,824188000.0
2015-01-19,821344000.0
2015-01-20,817781000.0
2015-01-21,814813000.0
2015-01-22,813688000.0
2015-01-23,811375000.0
2015-01-24,808313000.0
2015-01-25,810156000.0
2015-01-26,806000000.0
2015-01-27,802125000.0
2015-01-28,796875000.0
2015-01-29,794063000.0
2015-01-30,789469000.0
2015-01-31,787125000.0
2015-02-01,783844000.0
2015-02-02,778744000.0
2015-02-03,779875000.0
2015-02-04,781531000.0
2015-02-05,776469000.0
2015-02-06,774281000.0
2015-02-07,769656000.0
2015-02-08,767531000.0
2015-02-09,764594000.0
2015-02-10,763531000.0
2015-02-11,761313000.0
2015-02-12,762406000.0
2015-02-13,767875000.0
2015-02-14,771406000.0
2015-02-15,773625000.0
2015-02-16,769094000.0
2015-02-17,771406000.0
2015-02-18,766344000.0
2015-02-19,761313000.0
2015-02-20,757000000.0
2015-02-21,752003000.0
2015-02-22,746969000.0
2015-02-23,745500000.0
2015-02-24,742125000.0
2015-02-25,736688000.0
2015-02-26,733031000.0
2015-02-27,729375000.0
2015-02-28,726063000.0
2015-03-01,722906000.0
2015-03-02,718125000.0
2015-03-03,713250000.0
2015-03-04,709625000.0
2015-03-05,706031000.0
2015-03-06,701219000.0
2015-03-07,696406000.0
2015-03-08,691563000.0
2015-03-09,686188000.0
2015-03-10,682006000.0
2015-03-11,677094000.0
2015-03-12,673500000.0
2015-03-13,669375000.0
2015-03-14,664469000.0
2015-03-15,661063000.0
2015-03-16,656031000.0
2015-03-17,650438000.0
2015-03-18,645594000.0
2015-03-19,644862000.0
2015-03-20,641594000.0
2015-03-21,641594000.0
2015-03-22,641594000.0
2015-03-23,641219000.0
2015-03-24,640063000.0
2015-03-25,638828000.0
2015-03-26,639156000.0
2015-03-27,634219000.0
2015-03-28,630250000.0
2015-03-29,627312000.0
2015-03-30,623625000.0
2015-03-31,619156000.0
2015-04-01,616656000.0
2015-04-02,615450000.0
2015-04-03,614225000.0
2015-04-04,611500000.0
2015-04-05,612031000.0
2015-04-06,614063000.0
2015-04-07,610394000.0
2015-04-08,614144000.0
2015-04-09,614013000.0
2015-04-10,615091000.0
2015-04-11,617219000.0
2015-04-12,613563000.0
2015-04-13,608956000.0
2015-04-14,606656000.0
2015-04-15,605031000.0
2015-04-16,608188000.0
2015-04-17,611500000.0
2015-04-18,610966000.0
2015-04-19,611000000.0
2015-04-20,609156000.0
2015-04-21,611000000.0
2015-04-22,611500000.0
2015-04-23,612075000.0
2015-04-24,614869000.0
2015-04-25,613563000.0
2015-04-26,609156000.0
2015-04-27,605031000.0
2015-04-28,601106000.0
2015-04-29,596619000.0
2015-04-30,597313000.0
2015-05-01,598281000.0
2015-05-02,593875000.0
2015-05-03,595469000.0
2015-05-04,592188000.0
2015-05-05,587125000.0
2015-05-06,582313000.0
2015-05-07,579800000.0
2015-05-08,575500000.0
2015-05-09,572350000.0
2015-05-10,569119000.0
2015-05-11,563938000.0
2015-05-12,560688000.0
2015-05-13,556534000.0
2015-05-14,551619000.0
2015-05-15,547531000.0
2015-05-16,543625000.0
2015-05-17,541844000.0
2015-05-18,539656000.0
2015-05-19,535453000.0
2015-05-20,531481000.0
2015-05-21,537469000.0
2015-05-22,540563000.0
2015-05-23,542922000.0
2015-05-24,545262000.0
2015-05-25,551544000.0
2015-05-26,553531000.0
2015-05-27,555594000.0
2015-05-28,558025000.0
2015-05-29,564600000.0
2015-05-30,580188000.0
2015-05-31,586938000.0
2015-06-01,591813000.0
2015-06-02,594369000.0
2015-06-03,596228000.0
2015-06-04,597625000.0
2015-06-05,599688000.0
2015-06-06,602063000.0
2015-06-07,603875000.0
2015-06-08,606031000.0
2015-06-09,603625000.0
2015-06-10,602469000.0
2015-06-11,599250000.0
2015-06-12,594969000.0
2015-06-13,590781000.0
2015-06-14,586388000.0
2015-06-15,584125000.0
2015-06-16,580063000.0
2015-06-17,581469000.0
2015-06-18,577800000.0
2015-06-19,577900000.0
2015-06-20,579253000.0
2015-06-21,580553000.0
2015-06-22,580094000.0
2015-06-23,579359000.0
2015-06-24,577800000.0
2015-06-25,576438000.0
2015-06-26,576562000.0
2015-06-27,577225000.0
2015-06-28,577281000.0
2015-06-29,574906000.0
2015-06-30,572969000.0
2015-07-01,573538000.0
2015-07-02,573188000.0
2015-07-03,573587000.0
2015-07-04,573950000.0
2015-07-05,571494000.0
2015-07-06,569813000.0
2015-07-07,568175000.0
2015-07-08,567031000.0
2015-07-09,568288000.0
2015-07-10,568119000.0
2015-07-11,569231000.0
2015-07-12,569672000.0
2015-07-13,568969000.0
2015-07-14,569119000.0
2015-07-15,574150000.0
2015-07-16,578388000.0
2015-07-17,580434000.0
2015-07-18,586066000.0
2015-07-19,590838000.0
2015-07-20,596109000.0
